Designator,Mid X,Mid Y,Rotation,Layer
A1,110.0,-91.0,0.0,top
A2,68.0,-91.0,270.0,top
C1,70.38,-105.18,0.0,top
C2,54.12,-105.18,180.0,top
C3,93.0,-111.0,90.0,top
C4,82.357723,-72.13,180.0,top
C5,65.357723,-72.13,180.0,top
C6,47.990023,-72.13,180.0,top
D1,121.0,-142.0,0.0,top
J1,106.0,-134.0,180.0,top
J2,110.0,-59.63,0.0,top
J3,98.5,-59.63,0.0,top
J4,53.04,-134.41,0.0,top
J6,80.66,-134.49,270.0,top
J7,69.49,-59.63,0.0,top
PS1,86.0,-113.0,0.0,top
R1,116.0,-120.0,180.0,top
R2,103.0,-120.0,0.0,top
R3,78.0,-113.0,270.0,top
R4,62.0,-113.18,90.0,top
R5,57.3577,-72.13,90.0,top
R6,74.3577,-72.13,90.0,top
R7,91.3577,-72.13,90.0,top
R8,121.0,-129.0,270.0,top
U1,53.12,-114.98,270.0,top
U2,70.0,-114.18,0.0,top
